Title,Category,Date,Content,Url
SKKU AI Colloquium  2023,[기타],2023-09-14,SKKU AI Colloquium 2023Talking Sharing and Learning for MEGA AIMultimodal Expeditive Generative and Actionable AI 주최  소프트웨어융합대학 정보통신대학  주관  인공지능대학원 인공지능융합원 SW중심대학사업단 ICT명품인재양성사업단     BK21지속가능ICT미래인재교육연구단 시스템반도체융합전문인력육성센터ISRC 일정Day 1 921목Online YouTube 온라인 실시간 진행Day 2 922금Offline 자연과학캠퍼스 삼성학술정보관 B1 오디토리움 온라인 사이트  온라인 사이트를 통한 사전등록자에게는 점심음료Day2 선착순 제공 현장참가자에게는 추첨을 통하여 경품 증정 문의  인공지능대학원 03129058285929  aideptskkuedu,https://sw.skku.edu/sw/notice.do?mode=view&articleNo=162158
"실감미디어공학과 세미나 안내 (9/14, 10:30~)",[행사/세미나],2023-09-12,실감미디어공학과 세미나가 아래와 같이 개최되오니 많은 참여 부탁드립니다일시  9월 14일 목 1330장소  국제관 9B312호강연제목  Understanding Human in the 3D Space강연자  문경식 MetaPostdoctoral Research ScientistZOOM  ID 591 389 1581  PW 908353,https://sw.skku.edu/sw/notice.do?mode=view&articleNo=162039
[공개SW특강] 대규모 오픈소스 프로그램 쉽게 분석하기,[행사/세미나],2023-09-12,공개SW 특강실습교육 대규모 오픈소스 프로그램 쉽게 분석하기대규모 오픈소스를 분석하는 방법과 소스 구조와 코드 분석에 유용한 도구를 소개하고실제 오픈소스 프로젝트를 선정하여 실습해 봄으로써 대규모 오픈소스 활용과 개발 역량을 강화하는 강좌입니다  1 특강주제  대규모 오픈소스 프로그램 쉽게 분석하기 대용량 오픈소스 분석 방법에 대한 전반적인 안내와 분석 목적과 수준에 따른 유용한 분석 툴 소개 소스트리 아키텍쳐 분석에서 부터 상세 분석에 이르기 까지 코드 분석 방법 프로그램 언어 및 분석 목적수준에 따른 분석 도구 소개 오픈소스 프로젝트 선정하여 오픈소스 코드 분석을 하는 과정을 구체적으로 설명하며 실습 참여자 필요 역량 GitHub 계정 보유 GitGitHub 기초 사용 능력2 교육일정 9월 22일금 1430  17303 강의실 반도체관 1층 400118호4 강의형태 오프라인 특강  실습교육   github 계정 및 실습용 노트북 지참5 강사정보 강사  이종열 강사라인 Japan  LINE Japan Corp Senior Software Development Engineer  Committer and PMCThe Apache Software Foundation   A Committer and PMC member of Apache Zeppelin6 모집기간   2023년 9월 20일수 정오1200 까지7 신청방법  구글폼으로 신청  유의사항 강의 신청 후 강의 시간에 출석하지 않는 경우 향후 유사 SW 특강의 수강신청에 제약이 있을 수 있음 최소 수강 인원 미달 시 폐강 될 수 있음9 문의사항  오픈소스센터 0312996618,https://sw.skku.edu/sw/notice.do?mode=view&articleNo=162001
2023 국방 AI 경진대회 (MAICON),[기타],2023-09-11,정보통신기획평가원IITP에서는 국방 AI 기술 발전에 대한 국민적 관심 유도 및군내 AI 역량 보유 우수 인재 발굴을 위해 2023 국방 AI 경진대회를 다음과 같이 개최합니다1 대 회 명  2023년도 국방 AI 경진대회MAICON  Military AI CompetitiON2 신청기간  23 9 19화  10 12목3 신청방법  공식사이트 내 온라인 신청  주최주관  국방부 과학기술정보통신부  정보통신기획평가원 등5 시상규모  국방부 및 과기정통부 장관상 각 1점상금 각 2000만원 등 총 상금 8200만원6 참가대상  군 장병 부문 현역 장병병사 간부 군무원일반인 부문 대한민국 국적의 1929세 청년 군 장병의 경우 일반인 부문 참여가 가능하나 부문 동시 참여 불가7 문 의  국방 AI 경진대회 운영사무국 0267367419  contactmaiconkr,https://sw.skku.edu/sw/notice.do?mode=view&articleNo=161948
지능형소프트웨어학과(대학원) 진학상담회 및 산학장학생 안내(9/18),[행사/세미나],2023-09-11,지능형소프트웨어학과 한마당 진학상담회 안내일반대학원 소프트웨어융합대학 지능형소프트웨어학과 신입생 모집을 진행합니다많은 관심과 참여 부탁드립니다1 학과개요 학과명 지능형소프트웨어학과 학위과정 석사 학과소개 삼성전자 DX부문과 채용연계형 계약학과 석사과정 모집인원 석사 20명 24년 전기 입시모집일정 1 원서접수 기간 9월 27일수 1000  10월 12일목 1800 2 면접일정 10월 28월토 기준 예정 3 합격자 발표 11월 9일목 1700 예정 4 예치금 납부 11월 10일금  11월 14일화2 지능형소프트웨어학과 진학 시 특전 등록금입학금수업료 전액 면제 학업장려금 지원  매년 연구 발표회 개최 및 워크샵 진행 CES 또는 MWC 등의 해외 전시회 참관 최소 채용 절차 후 삼성전자 DX부문 입사 보장3 지원 자격 삼성전자 DX부문 채용 연계 과정으로 삼성전자 입사에 결격사유가 없어야 함 병역필 또는 면제자로 해외여행에 결격사유가 없는 분 석사과정 입학 예정자 또는 석사 13학기 재학생 석박통합 박사과정 지원 불가  소프트웨어학과지능형SW트랙 학석사연계과정생 중 선발 현 소프트웨어학과 학석사 연계 과정 학생도 석사 과정 전환 전 지능형SW트랙 전환 가능 합격 시 학석사연계과정 변경 신청서 제출   지능형소프트웨어학과 학사 학위를 취득한 자 또는 2024년 2월 취득 예정자 영어회화 자격을 보유하신 분  OPIc IL 이상 또는 토익스피킹 110점Level 5 이상  어학 자격 미보유자는 면접일까지 응시하여 제출 가능4 진학상담회현재 석사과정 입학예정자 및 석사과정 학생 중 삼성전자 DX부문 취업에 관심있는 학생 및 지능형소프트웨어학과에 진학 희망자를 대상으로 진행하오니 많은 참여 바랍니다 일시 20230918월 1000  장소 제1공학관 23217 앞 리크루팅부스 진행 오프라인 사전접수 진학설명회 일시 20230918월 1500 장소 제1공학관 23217  진행 오프라인 사전접수 문의 지능형소프트웨어학과 0312905865 intelliswskkuedu,https://sw.skku.edu/sw/notice.do?mode=view&articleNo=161911
2023년-2학기 실험실습 TA 모집,[채용/모집],2023-09-08,2023학년도 2학기 실험실습 수업 진행을 위해 도와주실 튜터를 모집합니다1모집대상  SW관련 배경지식과 해당 과목을 수강한 학부대학원생2모집인원  총 1명 실험실습  1명3모집대상 교과목학수번호분반교과목명과목유형교강사명수업형태수강인원수업시간필요인원SWE202441시스템프로그래밍실습실험실습한환수국제어38월1800214514급여 한 학기 기준 실험실습  175만원 세후  학기말 일괄지급 예정5주의사항 과목에 따라 중간시험 기말시험이 시행될 때 시험감독 의무가 주어집니다 반드시 참석 선발자에게는 개별연락 드릴 예정이며 미 선발자에 대해서는 개별 공지하지 않는 점 양해 부탁드립니다 지원자가 많을 경우 교수님께서 선발하실 예정입니다6신청방법  아래 링크에서 신청7신청기간  230908금 230915금 1500까지많은 참여 바랍니다 감사합니다문의 SW학과사무실 0312994102  swm0704skkuedu,https://sw.skku.edu/sw/notice.do?mode=view&articleNo=161843
디지털인재얼라이언스 가입 기업 대상 인턴십 희망 기업 안내 리스트,[채용/모집],2023-09-07,SW중심대학디지털인재얼라이언스 인턴십 협력 추진을 위한인턴십 희망 기업 안내 인턴십 희망 기업첨부파일 참고총 28개 기업 111명 수요기업 리스트 추가 및 변경사항은 담당자에게 연락 부탁드립니다 인턴십 신청방법 기업 리스트 확인 후 대학에서 희망하는 대학에 직접 컨택하여 인턴십 진행 협의 및 신청학생 매칭 협조요청사항 인턴십 신청 및 최종 매칭 후 결과를 설문에 응답 시기별 12차로 나누어 조사 예정 신청 현황 조사 응답 106금까지 바로가기 최종 매칭 결과 조사 응답 1027금까지 바로가기문의 0312905867journiiskkuedu,https://sw.skku.edu/sw/notice.do?mode=view&articleNo=161754
2023년-2학기 1만라인 TA 모집(~9/12),[채용/모집],2023-09-06,2023학년도 2학기 1만라인 수업 진행을 위해 도와주실 TA를 모집합니다1모집대상 SW관련 배경지식과 해당 과목을 수강한 대학원생2모집인원총 3명3모집대상 교과목학수번호분반교과목명과목유형교강사명수업형태수강인원수업시간필요인원SWE302242컴퓨터네트웍개론1만라인염익준일반132화13301445목1200131534급여한 학기 기준130만원 학기말 일괄 지급 예정5주의사항교수님 면접 진행 예정입니다과목에 따라 중간시험 기말시험이 시행될 때 시험감독 의무가 주어집니다 반드시 참석선발자에게는 개별연락 드릴 예정이며 미 선발자에 대해서는 개별 공지하지 않는 점 양해 부탁드립니다6신청방법아래 링크에서 신청7신청기간 230906수  230912화 까지많은 참여 바랍니다 감사합니다문의 SW학과사무실 0312994102 computingskkuedu,https://sw.skku.edu/sw/notice.do?mode=view&articleNo=161664
[SPARK 12기 참가모집],[채용/모집],2023-09-01,SPARK 12기 참가모집좋은 아이디어로 창업을 꿈꾸거나 시제품을 개발하고 싶은 SW학생들 모여라1 내용 참가대상  소프트웨어융합대학 학부생 SW복수전공 대학원생 우대사항  SW대학 34학년 구성팀 창업 준비팀밀착 지원 주   제  제한 없음 과제기간  최대 6개월 팀  구성  2인 이상 과제 선정 후 팀원 모집 가능2 아이디어 신청 아이디어 신청 마감일  915금 기한 엄수 아이디어 신청 방법  포스터 내 QR코드 접속 혹은 아래의 링크 접속하여 접수 신청 URL   아이디어 제안서  첨부 파일 참고자세한 사항은 아래의 포스터 참고 바랍니다,https://sw.skku.edu/sw/notice.do?mode=view&articleNo=161359
[성균웹진] 미국 교환학생 후기 - The University of Texas at Ausitin,[기타],2023-08-30, 2022년 7월 26일 출국 8월 22일 학기 시작 2023년 5월 1일 학기 종료글 김훈태 소프트웨어학과 19 비자 신청 절차교환학생 합격 통보 이후 UT 측에서 이메일로 연락이 옵니다 MyIO라는 페이지에서 요구사항 및 서류들을 상세히 알려주기 때문에 해당 사이트에서 준비하면 됩니다 출국 전 준비 사항항공권은 출국 3개월 전에 편도로 구매했습니다 교환학생 끝난 이후 바로 한국으로 오지 않고 다른 지역을 여행 다니다 오기 때문에 귀국행 비행기는 나중에 구매하세요 오스틴은 일교차가 커서 가는 기간에 따라 날씨를 잘 체크하셔서 알맞은 옷을 잘 들고 오시기 바랍니다 기숙사숙소UT 근처 학생들이 살 곳은 크게 3가지가 있습니다1 On Campus Dormitory 학교가 운영하는 교내 기숙사입니다 대부분 freshmen들이 많고 옆에 기숙사 식당이 있습니다 다만 하우징 가격이 매우 비쌉니다2 College houses 비영리 단체가 운영하는 coop이며 덕분에 가격이 쌉니다3 아파트 서브리스 자취입니다 월세 가격이 비쌀뿐더러 기숙사에 비해 사람을 잘 못 만나서 권유하고 싶지 않습니다 선택한 숙소 College Houses  Halstead 위치 교외 비용1학기 3334 USD 평가 좋음가격이 저렴한 대신 주당 4시간 labor를 해야 됩니다 labor는 기숙사 공공시설 청소 요리 쓰레기 수거 등 다양합니다 이러한 일들을 하면서 임원들이 다 같이 협력하여 기숙사를 유지하는 방식이며 일들을 하면서 다른 친구들과 친해지기 좋습니다 시설은 조금 오래됐으나 쓸 만합니다 College Houses가 운영하는 여러 기숙사가 있는데 제가 들어간 곳은 Halstead였습니다 Super Coop 라는 5층짜리 건물에 Laurel Nueces Halstead가 각 12층 3층 45층을 소유한 방식입니다코옵에 있으면서 처음에 가장 놀란 부분이 한국인이 매우 많다는 점이었습니다 한국의 다른 대학에서 온 학우들이 이전 수기를 보고 코옵으로 다 모이게 됩니다 외국인 친구들도 많지만 한국인 친구들이랑만 어울리게 될 수도 있습니다 수강 신청수강 신청 방법은 성균관대랑 크게 다르지 않습니다 책가방 비슷한 곳에 과목을 담아 신청 날에 신청하시면 됩니다 ut registration plus라는 크롬 익스텐션을 쓰면 신청 과정이 엄청 수월해집니다 수업 진행 방식2CARDIOVAS  WEIGHT TRAINING이 수업은 웨이트 트레이닝 말고도 유산소도 한다고 해서 신청했으나 한 시간 수업을 유산소 30분 무산소 30분으로 나누어서 해서 아쉬웠어요 웨이트 트레이닝만 하는 수업을 들은 주변 친구들은 평이 좋았으니 들어보시길 바랍니다5STROKE TECH  FITNESS SWIM수영 수업입니다 교수님이 엄청 쾌활하시며 유머가 넘칩니다 아침에 일어나는 것이 좀 귀찮지만 매주 수영을 하는 것이 상쾌하고 좋습니다 저는 초급 중급 고급 수업 중 중급 수업을 들었습니다 나중에 5미터 다이빙도 배우는데 그것도 참 재미있습니다 UT에는 자체 수영 선수 팀이 있는데 수업 도 팀이 훈련하는 시설에서 진행해서 시설이 엄청 좋았습니다DATA SCIENCE LABORATORY머신러닝의 기초를 다룹니다 매주 팀플 과제가 있으며 중간 1번 캐글대회 1번 최종 프로젝트 1번이 있습니다 인공지능 관련 수업을 이미 들으신 분들은 주제가 많이 중복될 테니 비추천입니다ALGORITHMS알고리즘 수업입니다 시험을 총 5번으로 매우 많이 봅니다 교수님이 특이하고 너그러우시지만 수업이 가성비 측면으로는 좀 떨어집니다MIND AND BODY교수님의 고급스러운 영국식 영어를 들을 수 있습니다 교수님이 물리학과로 학부를 졸업하시고 나중에 석박을 철학으로 하신 지라 매우 과학적인 방식으로 주제에 접근합니다 심신이원론 자유의지 의식 등 다양한 흥미로운 주제를 다룹니다 시험은 총 3번이며 하루 전에 ppt를 쭉 복습하면 무난한 점수를 받을 수 있습니다 이런 주제에 관심이 있으면 들어보세요 가장 인상깊은 수업 중 하나였습니다FILM HIST 1960 TO PRESENTWB1960년대 이후의 할리우드 영화사를 배웁니다 매주 영화를 보고 그 영화에 관한 퀴즈 및 강의가 있습니다 저는 영화에 관심이 있어 더욱 심화적인 내용을 기대했으나 그렇지는 않았어요 그러나 영화사에 지대한 영향을 끼친 영화 영화감독 기법 및 테크닉 등등을 배울 수 있어 매우 유익한 수업이었습니다 수업 및 과제 요구사항의 난이도가 매우 낮아 부담 없이 편안하게 들을 수 있는 수업입니다ARCHITECTURE AND SOCIETY건축물이 개인 및 사회에 어떻게 영향을 끼치는지 여러 가지 측면으로 배웁니다 생각보다 매우 중요한 주제이며 수업 이후에 건축물을 보는 시선이 달라졌습니다 근데 수업은 조금 지루하게 느껴졌습니다MCHN LRNDATA ANLYTCS EDGE AI앞의 460J를 선행과목으로 하는 수업입니다 모델 경량화 knowledge distillation federated learning 등을 배우며 분야가 분야이다 보니 최근 연구 및 성과들을 수업에서 많이 접합니다 교수님과 조교님이 수업 및 과제에 쏟는 정성이 돋보이는 수업이었고 수업에서만 끝나는 내용이 아니라 실질적인 지식을 배우는 유용한 수업이었습니다COMPUTER ARCHITECTURE정말 힘들었던 과목입니다 교수님 연세가 80이 넘으신 컴퓨터 구조 역사에 한 획을 그은 분입니다 랩 과제랑 시험 난이도가 상상을 초월합니다 당시에는 엄청 힘들었으나 후회가 없으며 그만큼 컴퓨터구조에 대해 제대로 배웠습니다 ECE와 CS 랭킹이 전역 10위 내에 위치하는 UT에서 학생들과 같이 배우며 경쟁한 점에 뿌듯함을 느낍니다 평가 방식수업마다 달라서 syllabus를 참고하시면 됩니다 UT에서는 성적이 A 가 아닌 A가 최대 성적이어서 만약 레터그레이드로 인정받고 싶다면 유의하시기를 바랍니다 문화 및 여가 활동 학교에서 즐길 수 있는 여가 활동 텍사스 유니언 빌딩 지하 1층에서 볼링 포켓볼 플레이스테이션과 스위치를 즐길 수 있습니다 DELL이 에일리언웨어 홍보 차원으로 만든 시설 좋은 E스포츠관이 있습니다 최근에 학교 내에 있는 미술관인 Blanton Museaum of Art가 개장했는데 UT 학생은 무료입니다 운동시설 Greg Gym과 RecSports 두 곳이 있으며 스쿼시 탁구 농구 수영 등등 많은 운동을 할 수 있으며 시설이 좋습니다 학교 캠퍼스가 넓어서 걸어 다니기 조금 힘듭니다 저는 한 학기당 50달러에 자전거를 대여해 주는 OrangeBike Project를 이용해서 이 자전거 덕에 시간을 많이 아꼈습니다 다만 처음 자전거를 받을 때 좋은 자전거를 고르시기 바랍니다 그리고 관리를 잘하세요 저는 막판에 자전거를 도난당해서 고생 좀 했습니다 학교 바로 근처에 The Bullock Texas State History Museum이 있습니다 가면 텍사스의 역사에 대해 자세히 알 수 있으며 심심하면 가볼 만합니다 박물관 내에서 운영하는 IMAX Theater가 있는데 여기는 정말 가볼 만합니다 예전 명작들이 종종 재개봉하니 웹사이트에서 잘 체크해 보시기 바랍니다 여행지 오스틴에서 자동차로 갈 수 있는 여행지는 사실상 샌안토니오 휴스턴 달라스밖에 없습니다 뉴욕 LA 같은 대도시와는 비교할 수가 없지만 나름대로 구경거리도 있고 텍사스에서만 경험할 수 있는 재미있는 것들이 많으니 셋 다 추천드립니다 저는 학기 중 주말에 친구들이랑 시간을 내서 차를 빌려 갔다 왔습니다 나머지 도시들은 비행기를 타세요 소감 및 총평교환학생을 가기 전에 학교미국사람들에 관하여 얼추 기대 및 예상을 하고 가기 나름입니다 그러나 막상 가보니 생각했던 것과 다른 것이 많았습니다 저는 교환학생을 가기 전에 UT에서 미국 학생들이랑만 어울릴 줄 알았어요 그러나 앞에서 언급한 것처럼 한국에서 온 교환학생들 및 유학생들이 많아서 마음만 먹으면 하루에 영어를 한마디도 안 하고 생활할 수 있었습니다 외국인 친구들이랑만 시간을 보낼 줄 알았으나 자연스럽게 한국인 학생들이랑 친해지고 같이 노는 저를 보고 처음에는 혼란스럽고 자책을 많이 했습니다 그러나 한국 교환학생들도 타 학교에서 공부를 잘한 배울 점이 많은 분들이었습니다 만약 저처럼 영어를 최대한 많이 쓸 예상을 하고 왔다면 처음에는 당황할 수 있으나 영어를 많이 써야지 하는 강박을 너무 갖지 마시고 적당히 타협을 보셔서 한국 친구들과 미국 친구들을 골고루 사귀기 바랍니다학교는 더할 나위 없이 좋은 곳입니다 UT는 캠퍼스가 통합되어 있고 한국에서 인문계열 교환학생분들도 많이 와서 다양한 사람들과 만날 수 있습니다 가장 감사했던 점은 학교가 교환학생이라고 해서 차별을 전혀 하지 않고 여러 활동 및 학업의 참여 기회를 본교 학생과 똑같은 대우를 해준 것입니다 그런 면에서 주어지는 기회도 많으니 의지만 있으면 많은 것을 배울 수 있습니다오스틴도 좋은 도시입니다 실리콘밸리만큼은 아니지만 여러 테크 기업들이 들어오며 꾸준히 성장하는 도시이며 여러 재미있는 뮤직 페스티벌이나 활동들이 도시 곳곳에서 벌어집니다 Keep Austin weird라는 말이 있습니다 오스틴이 계속 성장하면서 대도시가 되어감에도 불구하고 이전 오스틴의 개성을 잃어버리지 말자는 뜻이라고 합니다 고층 건물이 계속 들어서고 있어서 앞으로는 잘 모르겠는데 제가 있는 동안 오스틴은 충분히 개성 있는 도시였습니다여러 다양한 경험을 하려고 교환학생을 가는 면도 있지만 이러한 경험을 통해 이전의 기대 및 환상을 깨서 세상에 대한 더욱 포괄적인 이해를 하는 것이 가장 중요한 점이 아닌가 싶습니다 지난 1년간 UT 오스틴에서의 교환학생 생활은 저에게 엄청나게 값지고 소중한 경험이었으며 학업적인 면뿐만 아니라 개인적으로도 많은 것을 배웠습니다 만약 관심있다면 교환학생 활동으로 무엇을 얻고 싶은지 충분히 심사숙고하시고 오셔서 이 중요한 기회를 아깝지 않게 쓰셨으면 좋겠습니다성규웹진,https://sw.skku.edu/sw/notice.do?mode=view&articleNo=161229
